                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1996,                 4.9247,                0.96865,                0.00795,                0.37576,                 0.0084,                0.00297,                 1.8653,                 4.1806,                0.87382,                0.00032,                0.00032,                0.00032
                      1,                 2.0852,                 2.7397,                0.92393,                0.00487,                 0.2303,                0.00343,                0.00138,                 1.8245,                 4.0053,                0.88105,             0.00065978,             0.00065978,             0.00065978
                      2,                 2.1131,                 2.3998,                0.95356,                 0.0109,                0.51515,                0.03429,                 0.0143,                 1.9934,                 3.5746,                0.90806,             0.00099934,             0.00099934,             0.00099934
                      3,                 2.1565,                 2.6661,                0.96823,                0.01244,                0.58788,                0.04844,                0.02374,                 1.8119,                 3.4423,                0.90961,              0.0013387,              0.0013387,              0.0013387
                      4,                 2.0516,                 2.2034,                0.97713,                0.93149,                0.24724,                0.42977,                0.16382,                 2.1779,                  2.584,                0.94151,              0.0016778,              0.0016778,              0.0016778
                      5,                 2.0572,                 2.0229,                0.97366,                0.86351,                 0.4218,                0.50032,                0.22501,                 1.9255,                 2.0855,                0.93884,              0.0019967,              0.0019967,              0.0019967
                      6,                 2.1999,                 2.1122,                0.98516,                0.65019,                0.33939,                0.42328,                0.14928,                 2.2294,                 2.0319,                0.99618,              0.0019967,              0.0019967,              0.0019967
                      7,                 2.0853,                 2.0831,                0.96612,                 0.6493,                0.43762,                 0.4754,                0.20081,                 2.0478,                 1.7527,                  0.967,               0.001996,               0.001996,               0.001996
                      8,                 2.1571,                 1.9967,                 0.9818,                0.61594,                0.39853,                0.41388,                0.19287,                 1.9231,                 1.8266,                0.98869,              0.0019954,              0.0019954,              0.0019954
                      9,                 2.0709,                 1.8491,                0.97657,                0.65499,                0.41422,                  0.441,                0.16389,                 2.1582,                 1.6018,                  1.027,              0.0019947,              0.0019947,              0.0019947
                     10,                 2.3465,                 2.0506,                  1.011,                0.70889,                0.36364,                0.41809,                0.12563,                 2.2871,                 1.5422,                 1.0583,              0.0019941,              0.0019941,              0.0019941
                     11,                 2.0297,                 1.8733,                0.93869,                0.77362,                0.41424,                0.46399,                0.20227,                 1.9949,                 1.4168,                 1.0245,              0.0019934,              0.0019934,              0.0019934
                     12,                 1.9713,                 1.6825,                0.95202,                0.77108,                0.46667,                0.48378,                0.21401,                 1.9668,                 1.4402,                 1.0165,              0.0019927,              0.0019927,              0.0019927
                     13,                 1.9623,                 1.5839,                 1.0033,                0.68524,                0.44848,                   0.48,                0.18676,                 2.1005,                 1.3871,                 1.0185,              0.0019921,              0.0019921,              0.0019921
                     14,                 1.8992,                 1.5699,                0.99829,                0.69316,                0.46061,                0.53741,                0.24778,                 1.9025,                 1.2133,                0.98547,              0.0019914,              0.0019914,              0.0019914
                     15,                 2.0887,                 1.6165,                0.98701,                0.64708,                0.46671,                0.47218,                 0.2011,                 1.8888,                 1.2316,                0.98974,              0.0019908,              0.0019908,              0.0019908
                     16,                 1.9162,                 1.4954,                0.91574,                0.60151,                0.50303,                0.48601,                0.21989,                 1.8052,                 1.3099,                0.98049,              0.0019901,              0.0019901,              0.0019901
                     17,                  2.196,                 1.5284,                0.95334,                0.60673,                0.39394,                0.43716,                0.15219,                 2.3106,                 1.4866,                  1.023,              0.0019894,              0.0019894,              0.0019894
                     18,                 2.0403,                 1.4786,                0.98046,                0.69088,                0.47273,                0.50725,                 0.2425,                 1.8451,                 1.2091,                0.96314,              0.0019888,              0.0019888,              0.0019888
                     19,                 1.9606,                 1.3936,                0.95738,                0.82648,                0.51515,                0.57684,                0.26962,                 1.8094,                 1.1713,                0.94737,              0.0019881,              0.0019881,              0.0019881
                     20,                 1.8447,                  1.267,                0.92194,                0.84646,                0.53333,                0.57831,                0.24537,                 1.9485,                  1.191,                0.97038,              0.0019875,              0.0019875,              0.0019875
                     21,                  1.823,                 1.2724,                0.93295,                0.81287,                0.56364,                0.60844,                0.26431,                 1.8079,                 1.0384,                0.92106,              0.0019868,              0.0019868,              0.0019868
                     22,                 1.8705,                 1.2519,                0.95698,                  0.867,                0.50909,                0.59335,                0.26199,                 1.7877,                0.99496,                0.92661,              0.0019861,              0.0019861,              0.0019861
                     23,                 1.8966,                 1.2514,                0.95485,                0.76888,                0.49697,                0.55512,                0.28465,                 1.7007,                  1.054,                0.92755,              0.0019855,              0.0019855,              0.0019855
                     24,                 1.6944,                 1.1269,                0.89317,                0.70311,                0.49697,                0.53836,                0.24841,                 1.8613,                  1.143,                0.92463,              0.0019848,              0.0019848,              0.0019848
                     25,                 1.7878,                 1.2256,                0.94975,                0.69948,                0.49697,                0.54227,                0.23856,                 1.9175,                 1.1417,                 0.9566,              0.0019842,              0.0019842,              0.0019842
                     26,                 1.9877,                 1.2227,                0.96907,                0.72862,                0.41212,                 0.4942,                0.20701,                  2.068,                 1.2171,                 1.0023,              0.0019835,              0.0019835,              0.0019835
                     27,                 1.9066,                 1.1502,                0.89278,                0.78941,                0.49697,                0.56676,                0.26374,                 1.7727,                 1.0227,                0.94223,              0.0019828,              0.0019828,              0.0019828
                     28,                 2.0342,                 1.2032,                0.92633,                0.71813,                0.53939,                0.56777,                0.25644,                 1.7957,                 1.0357,                0.93735,              0.0019822,              0.0019822,              0.0019822
                     29,                 1.8336,                 1.1007,                0.95123,                 0.7764,                0.48403,                 0.5599,                0.22278,                 2.0107,                 1.0581,                0.95425,              0.0019815,              0.0019815,              0.0019815
                     30,                 1.9205,                 1.1282,                0.92525,                0.73454,                0.53333,                0.58596,                 0.2488,                 1.8454,                 1.0012,                0.92353,              0.0019809,              0.0019809,              0.0019809
                     31,                 1.8356,                 1.0662,                0.93744,                0.86026,                0.48485,                0.57433,                0.28247,                 1.6246,                0.90848,                0.90065,              0.0019802,              0.0019802,              0.0019802
                     32,                 1.9957,                 1.2125,                 0.9067,                0.80725,                0.47273,                0.54823,                0.28056,                  1.718,                0.95443,                0.91032,              0.0019795,              0.0019795,              0.0019795
                     33,                 1.8811,                 1.0552,                 0.8927,                0.71904,                0.47879,                0.51238,                0.22222,                 1.9996,                0.97814,                0.93149,              0.0019789,              0.0019789,              0.0019789
                     34,                  1.993,                 1.0236,                0.88707,                0.69328,                0.56165,                0.59302,                0.26993,                 1.7517,                 1.0234,                0.92223,              0.0019782,              0.0019782,              0.0019782
                     35,                 1.9662,                 1.1307,                0.92635,                0.73076,                0.57573,                0.61492,                0.28823,                  1.681,                0.95691,                 0.9092,              0.0019776,              0.0019776,              0.0019776
                     36,                 1.7955,                 1.0306,                0.93429,                0.77449,                0.48485,                 0.5541,                0.22831,                 1.9938,                0.97214,                0.93633,              0.0019769,              0.0019769,              0.0019769
                     37,                  1.861,                  1.051,                0.89005,                0.79432,                0.47273,                0.58174,                0.27407,                 1.8294,                 0.9194,                0.92683,              0.0019762,              0.0019762,              0.0019762
                     38,                  1.703,                0.94849,                0.91797,                0.76637,                0.52727,                0.58958,                0.28606,                 1.6649,                0.85881,                0.91393,              0.0019756,              0.0019756,              0.0019756
                     39,                 1.7214,                0.87608,                0.90646,                0.72061,                0.56364,                0.61443,                0.29604,                 1.7032,                 0.9204,                0.91637,              0.0019749,              0.0019749,              0.0019749
                     40,                  1.713,                0.93759,                   0.94,                 0.7644,                0.55758,                0.62994,                0.24916,                 1.8787,                0.93115,                0.91719,              0.0019743,              0.0019743,              0.0019743
                     41,                 1.7595,                0.92455,                0.90703,                0.79479,                0.57576,                0.64087,                0.29925,                 1.7232,                0.90271,                0.91028,              0.0019736,              0.0019736,              0.0019736
                     42,                 1.6665,                0.98284,                0.87614,                0.78996,                0.56985,                0.65736,                0.33936,                 1.6677,                  0.861,                  0.907,              0.0019729,              0.0019729,              0.0019729
                     43,                 1.6391,                0.89832,                 0.8872,                0.84195,                0.54885,                0.65403,                0.31575,                  1.776,                0.90908,                0.90845,              0.0019723,              0.0019723,              0.0019723
                     44,                 1.6856,                0.88233,                0.88648,                0.73953,                0.60225,                0.65732,                0.31945,                  1.687,                0.84098,                0.90051,              0.0019716,              0.0019716,              0.0019716
